OS;Producer;RAM;CPU cores;Diagonal;Width;Height
Android 13;Sharp;6;8;6,1;62,88;141,61
Android 13;AGM;8;8;6,56;67,95;152,14
Android 13;Blackview;8;8;6,5;67,75;150,56
Android 13;Oukitel;8;8;6,56;68,38;151,95
Android 13;Oukitel;8;8;6,52;67,96;151,02
Android 13;Oukitel;12;8;6,56;68,38;151,95
Android 13;Oppo;4;8;6,56;67,95;152,14
Android 13;Kyocera;6;8;5,38;61,11;122,23
Android 13;Lava;8;8;6,78;69,23;157,68
Android 13;Xiaomi;8;8;6,67;69,5;154,5
Android 13;Xiaomi;12;8;6,67;69,5;154,5
Android 13;itel;8;8;6,78;70,67;157,04
Android 13;Samsung;6;8;6,7;69,84;155,19
Android 13;Samsung;6;8;6,7;69,84;155,19
Android 13;Vivo;8;8;6,78;70,67;157,04
Android 13;Xiaomi;6;8;6,67;69,52;154,5
Android 13;Xiaomi;8;8;6,67;69,5;154,5
Android 13;Xiaomi;12;8;6,67;69,5;154,5
Android 13;BLU;8;8;6,78;69,23;157,68
Android 13;iiiF150;12;8;6,78;70,67;157,04
Android 13;iiiF150;6;8;6,5;67,75;150,56
Android 13;Vivo;6;8;6,56;67,95;152,14
Android 13;Samsung;16;8;7,6;148,34;123,53
Android 13;Samsung;12;8;6,7;64,44;157,51
Android 13;Sharp;12;8;6,6;70,25;152,21
Android 13;Sharp;8;8;6,39;68,02;147,37
Android 13;Oppo;8;8;6,7;69,55;155,32
Android 12;itel;8;8;6,6;68,37;153,07
Android 13;Motorola;8;8;6,55;68,27;151,72
Android 13;Motorola;12;8;6,5;67,75;150,56
Android 13;Motorola;8;8;6,5;67,75;150,56
Android 13;ZTE;4;8;6,6;68,6;152,96
Android 13;Oppo;4;8;6,56;67,95;152,14
Android 13;Realme;4;8;6,72;69,75;155,78
HarmonyOS 4,0;Huawei;16;8;6,82;72,81;157,18
Android 13;Infinix;8;8;6,78;70,67;157,04
Android 13;Fairphone;8;8;6,46;67,75;149,44
iOS 17;Apple;4;6;6,7;71,29;154,53
iOS 17;Apple;4;6;6,1;64,9;140,69
Android 12;Unihertz;12;8;6,81;70,98;157,74
Android 12;Lava;8;8;6,52;67,93;150,95
Android 13;Oukitel;12;8;6,78;69,23;157,68
Android 13;Doogee;12;8;6,58;68,59;152,41
Android 13;Motorola;12;8;6,55;68,27;151,72
Android 13;Sony;8;8;6,1;60,23;142,76
Android 13;Vivo;8;8;6,64;69,5;153,67
Android 13;Vivo;8;8;6,64;69,5;153,67
Android 13;Vivo;8;8;6,78;70,67;157,04
Android 13;ZTE;4;8;6,52;67,96;151,02
HarmonyOS 4,0;Huawei;12;8;6,69;70,04;154,82
HarmonyOS 4,0;Huawei;12;8;6,82;72,81;157,18
Android 13;Realme;4;8;6,7;69,84;155,19
Android 13;Realme;6;8;6,72;70,04;155,65
Android 13;Realme;8;8;6,4;66,71;148,24
Android 13;Realme;24;8;6,74;69,91;156,27
Android 13;Realme;12;8;6,74;69,91;156,27
Android 13;Vivo;8;8;6,78;70,67;157,04
Android 13;Cubot;6;8;6,56;67,95;152,14
Android 13;Vivo;8;8;6,64;69,5;153,67
Android 13;Vivo;8;8;6,78;70,67;157,04
Android 13;Nokia;3;8;6,3;65,67;145,93
Android 13;Nokia;4;8;6,56;67,95;152,14
Android 13;ZTE;4;8;6,52;67,96;151,02
Android 13;Blackview;4;4;6,56;67,95;152,14
Android 13;Honor;4;8;6,56;67,95;152,14
Android 12;Blackview;12;8;6,67;69,52;154,5
Android 13;OnePlus;12;8;6,74;69,91;156,27
Android 13;Xiaomi;12;8;8,03;152,58;135,35
Android 13;Xiaomi;12;8;6,67;69,5;154,5
Android 13;Ulefone;8;8;6,58;68,4;152,5
Android 13;Infinix;8;8;6,67;69,52;154,5
Android 13;Kyocera;4;8;5,8;61,74;133,76
Android 13;Ulefone;4;8;6,45;73,27;146,53
Android 13;POCO;4;8;6,79;7,56;172,3
Android 12;HTC;2;4;6,52;67,93;150,95
